"Trait","Microbial_Feature","Estimate","CI_Low","CI_High","Std_Error","T_value","P_value","P_adj","R2_Marginal","Heritability_h2","Var_Prop_Cage","Var_Prop_Dam"
"liverTC","g_Lachnospiraceae.UCG.004",0.0349362566462183,-0.00101504659353995,0.0708875598859765,0.0183425016529379,1.90466149641168,0.056824087106317,0.155682430428266,0.338340807084845,0.444506877531652,0.0666573221618463,0.228913777533434
"liverTC","g_Lachnospiraceae.UCG.006",0.0209072950330581,0.000413924432163412,0.0414006656339527,0.0104558013269871,1.99958801618533,0.0455447690366624,0.130369014007789,0.338379732784401,0.468658102936268,0.068161481517382,0.209849752991246
"liverTC","g_Marvinbryantia",-0.023500951961205,-0.0425890417501509,-0.00441286217225903,0.00973882132089078,-2.41312076552765,0.0158165779573585,0.0596851998390886,0.337292632477103,0.469780352570215,0.0737894096178049,0.217768927686997
"liverTC","g_Roseburia",0.0175430834358853,0.00226833414853753,0.0328178327232331,0.0077932394323203,2.25106434727647,0.0243814621348404,0.0826490241858996,0.337905618213491,0.46180183662352,0.0807803371976053,0.215084820507915
"liverTC","g_Tyzzerella",0.0163468296829931,-0.0037986170864791,0.0364922764524653,0.0102782891680981,1.59042321301201,0.111739441357446,0.262905345163448,0.334727583420634,0.450702213234044,0.0716350868420653,0.229203958399377
"liverTC","g_Romboutsia",0.00383358030103336,-0.00941189132920344,0.0170790519312702,0.00675789368889633,0.567274431578022,0.570527745562064,0.711051624724472,0.333722507130404,0.469143203646308,0.0739754510698506,0.207908178265884
"liverTC","g_Terrisporobacter",-0.0201853947033563,-0.0338487093721053,-0.0065220800346074,0.00697107891262701,-2.89559119274832,0.00378445053810061,0.0194074386569262,0.349765268583746,0.434286938181995,0.0636872938337787,0.228217670251322
"liverTC","g_Anaerotruncus",0.00789343126645648,-0.0281036023317776,0.0438904648646905,0.0183658334684868,0.429788894688636,0.667349211905591,0.775987455704175,0.332016014944451,0.479130490585965,0.0779846305144215,0.201894297148051
"liverTC","g_GCA.900066225",0.0131236200891995,-0.0260672226677198,0.0523144628461189,0.0199953279372038,0.656334326219348,0.51160903601619,0.657905315647535,0.332657531315563,0.47776597398188,0.0751331066873137,0.203879728651629
"liverTC","g_Intestinimonas",0.00742049098029845,-0.0110201802875409,0.0258611622481378,0.00940850574889765,0.788700265307047,0.430287212827402,0.589434538119728,0.332967469957386,0.482282524106279,0.0790142769106397,0.199056173261617
"liverTC","g_Oscillibacter",0.0342558952818454,0.0151970820915082,0.0533147084721826,0.00972388428078428,3.5228612653834,0.000426914769902087,0.00355762308251739,0.349660426238081,0.46321617940967,0.0671085484336792,0.221648483233088
"liverTC","g_Ruminiclostridium",0.0261337643515772,0.00969501295005129,0.0425725157531031,0.00838711806200302,3.11594091777169,0.00183359005361239,0.0125312779803618,0.348518600960446,0.473013746142985,0.0588317427052398,0.208071526662087
"liverTC","g_Ruminiclostridium.5",0.0195743937084501,-0.00463252825166266,0.0437813156685629,0.0123504703878126,1.58491078426988,0.112986605935929,0.262905345163448,0.337390151348712,0.469540907755237,0.0773327026242814,0.203963805326158
"liverTC","g_Ruminiclostridium.9",0.0423414787929002,0.0207046217835586,0.0639783358022418,0.0110392127598682,3.83555238167236,0.000125282400310178,0.00156603000387723,0.348379202933769,0.454712952961467,0.0722916357643123,0.235136048092689
"liverTC","g_Ruminococcaceae.NK4A214.group",0.000538813647643952,-0.0311604089004313,0.0322380361957192,0.0161730727286098,0.0333154779357916,0.973423011003528,0.995533797658223,0.332039555600166,0.480844812409004,0.0769744314488721,0.201938746809983
"liverTC","g_Ruminococcaceae.UCG.010",0.0422480239728367,-0.00208090639980983,0.0865769543454833,0.022616801210534,1.86799289517385,0.0617630612533635,0.164701496675636,0.337960922534399,0.487372655538811,0.0695591453325591,0.192568551469803
"liverTC","g_UBA1819",-0.00258158101385854,-0.0202880010979472,0.0151248390702301,0.00903388779800441,-0.285766335777251,0.775057093522516,0.856416677925432,0.332309737541155,0.483076922583791,0.0776472417913341,0.199239616259141
"liverTC","g_Dubosiella",-0.00985501137125713,-0.0241625033460759,0.00445248060356162,0.00729974080347895,-1.35004949306698,0.177000107679646,0.364948675628136,0.332439253904943,0.496912239930913,0.0812711260075516,0.190948704932504
"liverTC","g_Erysipelatoclostridium",-0.00891321366968677,-0.025688822666868,0.00786239532749443,0.00855898418223531,-1.04138686085981,0.297696038065473,0.504569556043174,0.331859254918373,0.497050537733288,0.0756093608539034,0.196090780496383
"liverTC","g_Faecalibaculum",-0.0143572080057657,-0.0253210641868983,-0.00339335182463315,0.00559380417404723,-2.56662685339912,0.0102693055420442,0.0444257976594343,0.340345697841219,0.482033881097229,0.0618795629864419,0.203656076230562
"liverTC","g_Escherichia.Shigella",-0.0225661414790042,-0.0383012257793796,-0.00683105717862879,0.00802810423488541,-2.81089293546352,0.00494042225882985,0.0238220733716112,0.343415712615162,0.473792116359198,0.0630520980544597,0.213104458166811
